time [nanoSec],	 voltage[mV] 
2,	 0.000000
4,	 0.000000
6,	 -0.000346
8,	 -0.000173
10,	 -0.000693
12,	 0.000173
14,	 -0.000346
16,	 -0.000173
18,	 -0.000346
20,	 -0.000173
22,	 -0.000520
24,	 -0.000693
26,	 -0.000520
28,	 -0.000173
30,	 0.000000
32,	 -0.000693
34,	 -0.001386
36,	 -0.001213
38,	 -0.001906
40,	 -0.001213
42,	 -0.002773
44,	 -0.002426
46,	 -0.002946
48,	 -0.003292
50,	 -0.003466
52,	 -0.003986
54,	 -0.004159
56,	 -0.004159
58,	 -0.004505
60,	 -0.004852
62,	 -0.005546
64,	 -0.005025
66,	 -0.005372
68,	 -0.005025
70,	 -0.005719
72,	 -0.005372
74,	 -0.005892
76,	 -0.005025
78,	 -0.005892
80,	 -0.006412
82,	 -0.006065
84,	 -0.006065
86,	 -0.006759
88,	 -0.006412
90,	 -0.006585
92,	 -0.006065
94,	 -0.006412
96,	 -0.006585
98,	 -0.006412
100,	 -0.006412
102,	 -0.007105
104,	 -0.006759
106,	 -0.006585
108,	 -0.006412
110,	 -0.006759
112,	 -0.006585
114,	 -0.006759
116,	 -0.006412
118,	 -0.007105
120,	 -0.006759
122,	 -0.007105
124,	 -0.006412
126,	 -0.006759
128,	 -0.006932
130,	 -0.007105
132,	 -0.006585
134,	 -0.006759
136,	 -0.007105
138,	 -0.007451
140,	 -0.006932
142,	 -0.007105
144,	 -0.006412
146,	 -0.007105
148,	 -0.006759
150,	 -0.007451
152,	 -0.006932
154,	 -0.006585
156,	 -0.006932
158,	 -0.006759
160,	 -0.006932
162,	 -0.007451
164,	 -0.006759
166,	 -0.007625
168,	 -0.007451
170,	 -0.007625
172,	 -0.006932
174,	 -0.007279
176,	 -0.006759
178,	 -0.007451
180,	 -0.007279
182,	 -0.007451
184,	 -0.007625
186,	 -0.007625
188,	 -0.006932
190,	 -0.007279
192,	 -0.007625
194,	 -0.007279
196,	 -0.006412
198,	 -0.007279
200,	 -0.006932
202,	 -0.007798
204,	 -0.006932
206,	 -0.006759
208,	 -0.007451
210,	 -0.007279
212,	 -0.007451
214,	 -0.007798
216,	 -0.007625
218,	 -0.007798
220,	 -0.006759
222,	 -0.007451
224,	 -0.007798
226,	 -0.007625
228,	 -0.006932
230,	 -0.007625
232,	 -0.007279
234,	 -0.007451
236,	 -0.006932
238,	 -0.006759
240,	 -0.007625
242,	 -0.007798
244,	 -0.007105
246,	 -0.007279
248,	 -0.006932
250,	 -0.007279
252,	 -0.007105
254,	 -0.007451
256,	 -0.007279
258,	 -0.007625
260,	 -0.006932
262,	 -0.007105
264,	 -0.007798
266,	 -0.007625
268,	 -0.007279
270,	 -0.007279
272,	 -0.007451
274,	 -0.008145
276,	 -0.007798
278,	 -0.008145
280,	 -0.007798
282,	 -0.007798
284,	 -0.007279
286,	 -0.007105
288,	 -0.007279
290,	 -0.007105
292,	 -0.006759
294,	 -0.007105
296,	 -0.007279
298,	 -0.007451
300,	 -0.006759
302,	 -0.006932
304,	 -0.006932
306,	 -0.007451
308,	 -0.007451
310,	 -0.007279
312,	 -0.007279
314,	 -0.006759
316,	 -0.007279
318,	 -0.007105
320,	 -0.007451
322,	 -0.006759
324,	 -0.007105
326,	 -0.007451
328,	 -0.007105
330,	 -0.007105
332,	 -0.007279
334,	 -0.006932
336,	 -0.007279
338,	 -0.007279
340,	 -0.007279
342,	 -0.007105
344,	 -0.007451
346,	 -0.007451
348,	 -0.007105
350,	 -0.007279
352,	 -0.007451
354,	 -0.007451
356,	 -0.007279
358,	 -0.007625
360,	 -0.007451
362,	 -0.007625
364,	 -0.007451
366,	 -0.007105
368,	 -0.007451
370,	 -0.007451
372,	 -0.007798
374,	 -0.007972
376,	 -0.007625
378,	 -0.007451
380,	 -0.007451
382,	 -0.007279
384,	 -0.007279
386,	 -0.007451
388,	 -0.007105
390,	 -0.007625
392,	 -0.007625
394,	 -0.007625
396,	 -0.006932
398,	 -0.007105
400,	 -0.007279
402,	 -0.007972
404,	 -0.007451
406,	 -0.007279
408,	 -0.006932
410,	 -0.007451
412,	 -0.007279
414,	 -0.007625
416,	 -0.007279
418,	 -0.007279
420,	 -0.006759
422,	 -0.007625
424,	 -0.007625
426,	 -0.007451
428,	 -0.006932
430,	 -0.007105
432,	 -0.007105
434,	 -0.007451
436,	 -0.007279
438,	 -0.007625
440,	 -0.007279
442,	 -0.007798
444,	 -0.007279
446,	 -0.007451
448,	 -0.007625
450,	 -0.007972
452,	 -0.007279
454,	 -0.007279
456,	 -0.007105
458,	 -0.007451
460,	 -0.006759
462,	 -0.006759
464,	 -0.006759
466,	 -0.007451
468,	 -0.006932
470,	 -0.007105
472,	 -0.006932
474,	 -0.007625
476,	 -0.007279
478,	 -0.007105
480,	 -0.006759
482,	 -0.007798
484,	 -0.006759
486,	 -0.007451
488,	 -0.007279
490,	 -0.006932
492,	 -0.006759
494,	 -0.006932
496,	 -0.007105
498,	 -0.007279
500,	 -0.006932
502,	 -0.007798
504,	 -0.007279
506,	 -0.007625
508,	 -0.006932
510,	 -0.007625
512,	 -0.007625
514,	 -0.007798
516,	 -0.007279
518,	 -0.007625
520,	 -0.007279
522,	 -0.007105
524,	 -0.007105
526,	 -0.007105
528,	 -0.007105
530,	 -0.007798
532,	 -0.007625
534,	 -0.007625
536,	 -0.007279
538,	 -0.007279
540,	 -0.006932
542,	 -0.007279
544,	 -0.007105
546,	 -0.007625
548,	 -0.006759
550,	 -0.007798
552,	 -0.007451
554,	 -0.007451
556,	 -0.006932
558,	 -0.007105
560,	 -0.007279
562,	 -0.007625
564,	 -0.006932
566,	 -0.007451
568,	 -0.007279
570,	 -0.007451
572,	 -0.006759
574,	 -0.007105
576,	 -0.007279
578,	 -0.007798
580,	 -0.007105
582,	 -0.007105
584,	 -0.007451
586,	 -0.007105
588,	 -0.007105
590,	 -0.007279
592,	 -0.006932
594,	 -0.007451
596,	 -0.006932
598,	 -0.007279
600,	 -0.006932
602,	 -0.007105
604,	 -0.006932
606,	 -0.006759
608,	 -0.006932
610,	 -0.007451
612,	 -0.007279
614,	 -0.007105
616,	 -0.007279
618,	 -0.007279
620,	 -0.006412
622,	 -0.007625
624,	 -0.006759
626,	 -0.007279
628,	 -0.006932
630,	 -0.007451
632,	 -0.007105
634,	 -0.007105
636,	 -0.007105
638,	 -0.007279
